Alabama,Camellia
Alaska,Forget Me Not
Arizona,Saguaro Cactus Blossom
Arkansas,Apple Blossom
California,California Poppy
Colorado,Rocky Mountain Columbine
Connecticut,Mountain laurel
Delaware,Peach Blossom
Florida,Orange Blossom
Georgia,Cherokee Rose
Hawaii,Pua Aloalo
Idaho,Syringa - Mock Orange
Illinois,Purple Violet
Indiana,Peony
Iowa,Wild Prairie Rose
Kansas,Sunflower
Kentucky,Goldenrod
Louisiana,Magnolia
Maine,White pine cone and tassel
Maryland,Black-eyed susan
Massachusetts,Trailing-Arbutus
Michigan,Apple Blossom
Minnesota,Pink and white lady's-slipper
Mississippi,Magnolia
Missouri,Hawthorn
Montana,Bitterroot
Nebraska,Goldenrod
Nevada,Sagebrush
New Hampshire,Purple lilac
New Jersey,Violet
New Mexico,Yucca flower
New York,Rose
North Carolina,American Dogwood
North Dakota,Wild Prairie Rose
Ohio,Scarlet Carnation
Oklahoma,Mistletoe
Oregon,Oregon Grape
Pennsylvania,Mountain Laurel
Rhode Island,Violet
South Carolina,Yellow Jessamine
South Dakota,Pasque Flower
Tennessee,Iris
Texas,Bluebonnet
Utah,Sego lily
Vermont,Red Clover
Virginia,American Dogwood
Washington,Coast Rhododendron
West Virginia,Rhododendron
Wisconsin,Wood Violet
Wyoming,Indian Paintbrush
