index	sales	year	month
1	121	1999	1
2	227	1999	2
3	446	1999	3
4	731	1999	4
5	1017	1999	5
6	1473	1999	6
7	933	1999	7
8	2004	1999	8
9	3224	1999	9
10	1176	1999	10
11	1375	1999	11
12	1206	1999	12
13	123	2000	1
14	0	2000	2
15	863	2000	3
16	412	2000	4
17	851	2000	5
18	5105	2000	6
19	387	2000	7
20	1270	2000	8
21	298	2000	9
22	2092	2000	10
23	-5	2000	11
24	3688	2000	12
25	8	2001	1
26	12	2001	2
27	34	2001	3
28	0	2001	5
29	66	2001	6
30	703	2001	7
31	729	2001	8
32	1013	2001	9
33	1333	2001	10
34	215	2001	11
35	425	2001	12
36	833	2002	1
37	854	2002	2
38	498	2002	3
39	598	2002	4
40	961	2002	5
41	754	2002	6
42	1098	2002	7
43	1158	2002	8
